Column1,property,gene_entrez_id,gene_symbol,beta_gene,beta_gene|class,slope_exc,slope_inh,pval_gene,pval_gene|class_anova,pval_int_anova,model1_aic,model2_aic,model3_aic,model4_aic,FDR_gene,FDR_gene|class_anova,FDR_int_anova,beta_gene_inh_only,pval_gene_inh_only,inh_only_aic,FDR_gene_inh_only,n_significant_0.1_g|c,n_significant_0.1_int
2410,rmp,13010,CST3,2.950021607,2.963756761,1.753947208,3.231467716,5.10E-07,3.24E-05,0.381125962,199.4634007,218.085394,201.4620644,202.615716,0.000622824,0.013178702,0.892801942,3.231467716,3.72E-05,139.2818037,0.013328056,7,0
2419,rmp,13017,CTBP2,-0.399650042,-1.262013572,0.080889576,-1.607865181,0.298583502,0.00149355,0.067099327,224.9198395,218.085394,209.2085062,207.5096128,0.557362491,0.06443905,0.852334018,-1.607865181,0.000237199,143.0501467,0.029825195,11,0
2456,rmp,381418,CTXN2,0.67488834,0.682779972,0.467105727,0.727634901,0.000398862,9.15E-05,0.541932559,212.8373609,218.085394,203.583446,205.1730271,0.016324898,0.019599242,0.919335085,0.727634901,0.00015745,142.2198923,0.024613189,14,3
2478,rmp,13052,CXADR,1.327030771,1.133456496,0.353388388,1.580056916,0.000679594,0.002739522,0.099211591,213.8846425,218.085394,210.4087563,209.4097718,0.021779791,0.082590619,0.852334018,1.580056916,0.000789786,145.4712419,0.054382377,8,0
2485,rmp,67393,CXXC5,-1.049245878,-1.322367981,-0.624430652,-1.375219384,3.42E-06,0.000110649,0.544277218,203.3194758,218.085394,203.9702451,205.5645707,0.001508309,0.020470048,0.92095096,-1.375219384,9.85E-05,141.2657481,0.020589276,9,0
2524,rmp,320064,D130017N08RIK,-1.683469211,-2.208640711,-1.740480359,-2.326133442,0.032693472,0.002486219,0.737760627,221.2479511,218.085394,210.2174887,212.0937955,0.165378307,0.079676478,0.953402581,-2.326133442,0.005200488,149.1988579,0.125593403,10,0
2527,rmp,210108,D130043K22RIK,-0.028626024,1.46558462,0.214655887,2.323850255,0.938554064,0.002247219,0.020182794,226.053356,218.085394,210.0179456,206.0648232,0.974633876,0.07720407,0.821048923,2.323850255,0.000116103,141.6011694,0.021662483,5,0
2543,rmp,241589,D430041D05RIK,-0.685803326,-0.901198874,-0.641312964,-1.01025531,8.20E-05,0.003492543,0.570474516,209.7022952,218.085394,210.8862449,212.5310828,0.007766303,0.095102751,0.928290043,-1.01025531,0.007072416,149.796247,0.142062349,12,3
2546,rmp,98303,D630023F18RIK,0.738452563,1.040127008,0.626526387,1.462526091,0.00644751,3.07E-05,0.061761326,218.2327569,218.085394,201.3556615,199.5057904,0.067747757,0.013078488,0.852334018,1.462526091,3.32E-05,139.048386,0.012813516,3,1
2646,rmp,13199,DDN,-0.810327886,-0.979538099,-0.768779453,-0.986230855,4.15E-05,0.002020007,0.901642326,208.3402431,218.085394,209.8071848,211.7903321,0.005819229,0.074740246,0.986318319,-0.986230855,0.002472056,147.7399191,0.088061237,12,0
2682,rmp,67997,DDX59,-1.723548075,-1.74651885,-1.280074607,-1.943379308,0.003354666,0.00124308,0.555822886,216.9852303,218.085394,208.843417,210.4605614,0.047436943,0.059755946,0.923773702,-1.943379308,0.003116477,148.1962753,0.097735116,11,5
2692,rmp,110052,DEK,-1.420063399,-2.03781192,-1.551919998,-2.129676805,0.008731857,4.64E-05,0.645439876,218.8063503,218.085394,202.1965371,203.962956,0.079740873,0.015100315,0.937610306,-2.129676805,0.000101889,141.3355657,0.020589276,9,0
2720,rmp,13139,DGKA,2.213194748,1.922347527,3.00423969,1.73337608,7.55E-05,0.003375875,0.472759112,209.5378723,218.085394,210.8195539,212.2507486,0.007457639,0.093046115,0.909220331,1.73337608,0.018341675,151.6205323,0.220354561,3,1
